"Title"|"SKU"|"Image"|"Price"|"Cost"|"Category"
"8pcs chinese pain relief plaster rheumatism joint pain patch medical plaster LS"|"LAP-6479603891-SKU"|"https://i.ebayimg.com/thumbs/images/g/e4kAAOSw8MdbBMJl/s-l225.jpg"|".99"|".99"|"Pain & Fever Relief"

"8pcs/pack Medical Arthritis Pain Plaster Upper Back Muscle Pain Relief Patch PA"|"LAP-510832883-SKU"|"https://i.ebayimg.com/thumbs/images/g/9HIAAOSwHola4XMw/s-l225.jpg"|".99"|".99"|"Pain & Fever Relief"

"8pcs/pack Medical Arthritis Pain Plaster Upper Back Muscle Pain Relief PatchTS"|"LAP-3288959773-SKU"|"https://i.ebayimg.com/thumbs/images/g/9HIAAOSwHola4XMw/s-l225.jpg"|".99"|".99"|"Pain & Fever Relief"

"8 Pcs/Pack Pain Patches Spirit Bone Paste Self Heating Black  Plaster LZ"|"LAP-5149375067-SKU"|"https://i.ebayimg.com/thumbs/images/g/8w8AAOSw2QJa4Zyc/s-l225.jpg"|".99"|".99"|"Pain & Fever Relief"

"8x/bag chinese pain relief plaster rheumatism joint pain patch medical plaster >"|"LAP-1544789904-SKU"|"https://i.ebayimg.com/thumbs/images/g/e4kAAOSw8MdbBMJl/s-l225.jpg"|".99"|".99"|"Pain & Fever Relief"

"Thai Balm Golden Cup Muscle Pain Massage Headache Ointment Relief Vertigo Nasal"|"LAP-7730634034-SKU"|"https://i.ebayimg.com/thumbs/images/m/mAU8354o3MdZeDxdJJxKxfA/s-l225.jpg"|".99"|".99"|"Pain & Fever Relief"

"1pc medical grade hydrogel fever reducing pain relief cooling patch blue"|"LAP-4919724282-SKU"|"https://i.ebayimg.com/thumbs/images/g/N3MAAOSwwHpbWXGz/s-l225.jpg"|".99"|".99"|"Pain & Fever Relief"

"New 8Pcs/Pack Pain Patches Spirit Bone Paste Self Heating Black Plaster"|"LAP-570443838-SKU"|"https://i.ebayimg.com/thumbs/images/g/8w8AAOSw2QJa4Zyc/s-l225.jpg"|".99"|".99"|"Pain & Fever Relief"

"8PCS/Pack Relief Cold Pain Vietnamese Red Herbs Medicine Plaster JTOO 01"|"LAP-8506646198-SKU"|"https://i.ebayimg.com/thumbs/images/g/TPUAAOSwLrdbgIVI/s-l225.jpg"|".99"|".99"|"Pain & Fever Relief"

"8 Pcs/Pack Pain Patches Spirit Bone Paste Self Heating Black  Plaster LE"|"LAP-5778214318-SKU"|"https://i.ebayimg.com/thumbs/images/g/8w8AAOSw2QJa4Zyc/s-l225.jpg"|".99"|".99"|"Pain & Fever Relief"

"8pcs chinese pain relief plaster rheumatism joint pain patch medical plaster X"|"LAP-1405930941-SKU"|"https://i.ebayimg.com/thumbs/images/g/e4kAAOSw8MdbBMJl/s-l225.jpg"|".99"|".99"|"Pain & Fever Relief"

"8Pcs/bag Pain Relief Patches Chinese Traditional Herbal Support Plaster HF"|"LAP-425977370-SKU"|"https://i.ebayimg.com/thumbs/images/g/WHAAAOSwH2Ja4WwH/s-l225.jpg"|".99"|".99"|"Pain & Fever Relief"

"Adult Health Care Cooling Gel Patch Medical Fever Pad Herbal Pain Relief Paste"|"LAP-7205655096-SKU"|"https://i.ebayimg.com/thumbs/images/g/PZwAAOSw1i5brNJH/s-l225.jpg"|".99"|".99"|"Other Health Care Supplies"

"8x/bag chinese pain relief plaster rheumatism joint pain patch medical|plaster H"|"LAP-901525229-SKU"|"https://i.ebayimg.com/thumbs/images/g/e4kAAOSw8MdbBMJl/s-l225.jpg"|".99"|".99"|"Pain & Fever Relief"

"8pcs chinese pain relief plaster rheumatism joint pain patch medical plaster R"|"LAP-8997797355-SKU"|"https://i.ebayimg.com/thumbs/images/g/e4kAAOSw8MdbBMJl/s-l225.jpg"|".99"|".99"|"Pain & Fever Relief"

"Natural Gold Cup Balm Muscular Pain Headache Relief Morning Sickness"|"LAP-9926981245-SKU"|"https://i.ebayimg.com/thumbs/images/m/mB98Iw1_ViMfI3CbUi91mYA/s-l225.jpg"|".99"|".99"|"Herbal Remedies & Resins"

"8x Far-infrared Anti-inflammatory Analgesic Paste Patches Pain Release Relaxing"|"LAP-4838178693-SKU"|"https://i.ebayimg.com/thumbs/images/g/ImEAAOSwpINaHOmC/s-l225.jpg"|".99"|".99"|"Pain & Fever Relief"

"8 Pcs/Pack Pain Patches Spirit Bone Paste Self Heating Black  Plaster BBUS"|"LAP-5179022442-SKU"|"https://i.ebayimg.com/thumbs/images/g/8w8AAOSw2QJa4Zyc/s-l225.jpg"|".99"|".99"|"Pain & Fever Relief"

"8pcs chinese pain relief plaster rheumatism joint pain patch medical plaster ESU"|"LAP-3231975619-SKU"|"https://i.ebayimg.com/thumbs/images/g/e4kAAOSw8MdbBMJl/s-l225.jpg"|".99"|".99"|"Pain & Fever Relief"

"8pcs/bag Arthritis Pain Relief Plaster Upper Back Muscle Pain Patch TS"|"LAP-9785253139-SKU"|"https://i.ebayimg.com/thumbs/images/g/csMAAOSwLpda4XUl/s-l225.jpg"|".99"|".99"|"Pain & Fever Relief"

"8pcs/pack Pain Relief Patch Neck Muscle Massage Medical Orthopedic PlastersTS"|"LAP-55238580-SKU"|"https://i.ebayimg.com/thumbs/images/g/9zYAAOSwcTRa4WqZ/s-l225.jpg"|".99"|".99"|"Pain & Fever Relief"

"1/10Lots Adult Cooling Gel Patch for Heat Pain Fever Headache Relief Fruit Color"|"LAP-7645337913-SKU"|"https://i.ebayimg.com/thumbs/images/m/m2PFirTlBQ7-hd_7wKkEErA/s-l225.jpg"|".99"|".99"|"Pain & Fever Relief"

"8pcs chinese pain relief plaster rheumatism joint pain patch medical plaster TS"|"LAP-381252908-SKU"|"https://i.ebayimg.com/thumbs/images/g/e4kAAOSw8MdbBMJl/s-l225.jpg"|".99"|".99"|"Pain & Fever Relief"

"8 Pcs/Pack Pain Patches Spirit Bone Paste Self Heating Black  Plaster PV"|"LAP-1446730444-SKU"|"https://i.ebayimg.com/thumbs/images/g/8w8AAOSw2QJa4Zyc/s-l225.jpg"|".99"|".99"|"Pain & Fever Relief"

"8 Pcs/Pack Pain Patches Spirit Bone Paste Self Heating Black  Plaster JH"|"LAP-5867543864-SKU"|"https://i.ebayimg.com/thumbs/images/g/8w8AAOSw2QJa4Zyc/s-l225.jpg"|".99"|".99"|"Pain & Fever Relief"

"DABUR Pudin Hara Pearl Herbal Capsules For Gas Stomach Ache Indigestion Acidity"|"LAP-3697387051-SKU"|"https://i.ebayimg.com/thumbs/images/m/mZ_q_gXlt5nimOZYq_o3swQ/s-l225.jpg"|"2.99"|"2.99"|"Other Natural Remedies"

"DABUR Pudin Hara Pearl Herbal Capsules For Gas Stomach Ache Indigestion Acidity"|"LAP-4206969776-SKU"|"https://i.ebayimg.com/thumbs/images/m/mZ_q_gXlt5nimOZYq_o3swQ/s-l225.jpg"|"2.99"|"2.99"|"Other Natural Remedies"

"Dabur Pudin Hara 10 Caps Pearls efective Cooling Relief Gas Acidity Stomach ache"|"LAP-5195356905-SKU"|"https://i.ebayimg.com/thumbs/images/m/mUah6h8ZJBv3zwvb2G0VJGg/s-l225.jpg"|"3.49"|"3.49"|"Other Natural Remedies"

"Dabur Pudin Hara Pearls Effective Cooling Relief Gas Acidity Stomach Ache 10Caps"|"LAP-2318213364-SKU"|"https://i.ebayimg.com/thumbs/images/g/kwoAAOSweRlas9u7/s-l225.jpg"|"3.59"|"3.59"|"Herbal Remedies & Resins"

"Boy now has stomach ache after eating the Turkey; Whitney Vintage Postcard"|"LAP-8290342935-SKU"|"https://i.ebayimg.com/thumbs/images/g/8nQAAOSwcTlbm9-w/s-l225.jpg"|"3.75"|"3.75"|"Holidays"

"1992 Megacards Ruth Baseball Card Pick"|"LAP-7853821408-SKU"|"https://i.ebayimg.com/thumbs/images/m/msMxjI3I7bypS66g0I05HsA/s-l225.jpg"|".99"|".99"|"Baseball Cards"

"1 x Dabur Pudin Hara 10 Caps Pearls Effective Cooling Relief Gas Stomach Ache"|"LAP-3821999636-SKU"|"https://i.ebayimg.com/thumbs/images/g/~XwAAOSwA3dYgZvd/s-l225.jpg"|"3.96"|"3.96"|"Other Natural Remedies"

"Dabur Pudin Hara 10 Capsules Pearls Effective Cooling Relief Gas Stomach Ache"|"LAP-7140322757-SKU"|"https://i.ebayimg.com/thumbs/images/g/VyYAAOSwUKxYgeEv/s-l225.jpg"|"3.96"|"3.96"|"Other Natural Remedies"

